item_id,number,line_start,line_end,confidence,reconstruction_status,stem
batch4_2022_q38,38,147,147,medium,answer_hint_only,Pasien mengalami keluhan saraf tepi dengan riwayat batuk dan demam sebelumnya. Diagnosis yang paling sesuai adalah...
batch4_2022_q39,39,148,148,high,answer_hint_only,"Pada lanjutan kasus SGB, jenis gangguan/penyakitnya adalah..."
batch4_2022_q40,40,149,149,high,answer_hint_only,"Pada pasien stroke dengan bicara pelo dan kelemahan sesisi tubuh, gold standard pemeriksaan awal adalah..."
batch4_2022_q41,41,150,150,low,answer_hint_only,"Pada trauma kepala dengan pupil anisokor, gold standard pemeriksaan menurut sumber adalah..."
batch4_2022_q42,42,151,154,high,reconstructed_mcq,"Anak muda mengalami kecelakaan, sempat sadar dan berdiri lalu jatuh tidak sadar lagi. CT-scan tanpa kontras menunjukkan lesi hiperdens bikonveks. Diagnosisnya adalah..."
batch4_2022_q43,43,155,159,low,reconstructed_mcq,"Wanita 30 tahun mudah lelah, diplopia, kelopak mata turun setelah diminta melihat ke atas, membaik setelah tidur, dan pemeriksaan darah normal. Diagnosis atau pemeriksaan yang sesuai adalah..."
batch4_2022_q44,44,160,165,low,reconstructed_mcq,Ciri perdarahan epidural adalah...
batch4_2022_q45,45,166,169,low,unresolved,Ciri gangguan panik adalah...
batch4_2022_q46,46,170,170,low,unresolved,Yang merupakan hal benar untuk upper motor neuron/UMN adalah...
batch4_2022_q47,47,171,171,high,answer_hint_only,Nyeri kepala berdenyut disertai pandangan/visual phenomenon paling sesuai dengan...
batch4_2022_q48,48,172,175,high,reconstructed_mcq,Kelemahan gerak sisi kiri tubuh menunjukkan lesi terutama pada...
batch4_2022_q49,49,176,180,high,reconstructed_mcq,Nervus yang berperan pada refleks pupil adalah...
batch4_2022_q50,50,181,186,high,reconstructed_mcq,Neuralgia trigeminal mengenai nervus kranialis ke berapa?
batch4_2022_q51,51,187,187,low,answer_hint_only,Kepribadian dengan ciri eksentrik dan aneh menurut sumber adalah...
batch4_2022_q52,52,188,193,medium,reconstructed_mcq,"Pasien tidak bereaksi saat dipanggil, membuka mata saat rangsang nyeri, dapat melokalisir nyeri dan menepis, serta hanya mengerang. Skor GCS 9. Tingkat kesadaran yang sesuai adalah..."
batch4_2022_q53,53,194,194,high,answer_hint_only,Antipsikotik untuk gejala dominan positif adalah...
batch4_2022_q54,54,195,195,medium,answer_hint_only,"Tes untuk diagnosis BPPV, kecuali..."
batch4_2022_q55,55,196,197,high,answer_hint_only,Jalur descending adalah jalur...
batch4_2022_q56,56,198,198,medium,answer_hint_only,Ketakutan terhadap ruangan sempit disebut...
batch4_2022_q57,57,199,199,high,answer_hint_only,"Pasien takut mati, tidak bisa tidur, suaminya dibunuh/dirampok, episode berlangsung sekitar 10 menit dan terjadi 3–4 kali sebulan. Diagnosis yang paling sesuai adalah..."
batch4_2022_q58,58,200,200,high,answer_hint_only,Pasien tidak mengenali sendok. Gangguan yang terjadi adalah...
