visual_id,domain,title,visual_type,source_url,license_status,relevance_score,quality_score,educational_value,qc_status,notes
visual_batch_1_6e_06_01,neurology,Status epilepticus algorithm timeline,image,assets/images/neurology/batch_1_6e_06_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,status epilepticus algorithm timeline; seizure classification flowchart
visual_batch_1_6e_07_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_07_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_07_02,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_07_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_08_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_08_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_08_02,neurology,Tbi injury mechanism diagram,image,assets/images/neurology/batch_1_6e_08_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,TBI injury mechanism diagram; epidural/subdural/intracerebral comparison
visual_batch_1_6e_09_01,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_09_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_09_02,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_09_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_09_03,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_09_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_10_01,neurology,Headache red flags snoop/snnoop card,image,assets/images/neurology/batch_1_6e_10_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,headache red flags SNOOP/SNNOOP card; migraine pathway diagram
visual_batch_1_6e_10_02,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_10_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_11_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_11_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_11_02,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_11_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_11_03,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_11_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_12_01,neurology,Vestibular pathway diagram,image,assets/images/neurology/batch_1_6e_12_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,vestibular pathway diagram; central vs peripheral vertigo comparison card; HINTS exam schematic
visual_batch_1_6e_12_02,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_12_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_12_03,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_12_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_13_01,neurology,Vestibular pathway diagram,image,assets/images/neurology/batch_1_6e_13_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,vestibular pathway diagram; central vs peripheral vertigo comparison card; HINTS exam schematic
visual_batch_1_6e_13_02,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_13_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_13_03,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_13_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_14_01,neurology,Nigrostriatal dopamine pathway,image,assets/images/neurology/batch_1_6e_14_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,nigrostriatal dopamine pathway; cardinal motor signs flash animation
visual_batch_1_6e_14_02,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_14_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_14_03,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_14_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_15_01,neurology,Ischemic vs hemorrhagic stroke ct/mri image cards,image,assets/images/neurology/batch_1_6e_15_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ischemic vs hemorrhagic stroke CT/MRI image cards; vascular territory map
visual_batch_1_6e_15_02,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_15_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_15_03,neurology,Icf impairment-disability-handicap flow,image,assets/images/neurology/batch_1_6e_15_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ICF impairment-disability-handicap flow; transfer training sequence cards
visual_batch_1_6e_16_01,neurology,"Review embedded images for reusable lecture diagrams, screenshot cards, and media viewer placeholders",image,assets/images/neurology/batch_1_6e_16_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,"review embedded images for reusable lecture diagrams, screenshot cards, and media viewer placeholders"
visual_batch_1_6e_17_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_17_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_17_02,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_17_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_17_03,neurology,Tbi injury mechanism diagram,image,assets/images/neurology/batch_1_6e_17_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,TBI injury mechanism diagram; epidural/subdural/intracerebral comparison
visual_batch_1_6e_18_01,neurology,Status epilepticus algorithm timeline,image,assets/images/neurology/batch_1_6e_18_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,status epilepticus algorithm timeline; seizure classification flowchart
visual_batch_1_6e_19_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_19_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_19_02,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_19_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_19_03,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_19_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_20_01,neurology,Headache red flags snoop/snnoop card,image,assets/images/neurology/batch_1_6e_20_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,headache red flags SNOOP/SNNOOP card; migraine pathway diagram
visual_batch_1_6e_20_02,neurology,Tbi injury mechanism diagram,image,assets/images/neurology/batch_1_6e_20_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,TBI injury mechanism diagram; epidural/subdural/intracerebral comparison
visual_batch_1_6e_20_03,neurology,Radiology viewer card with ct/mri phase comparison,image,assets/images/neurology/batch_1_6e_20_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,radiology viewer card with CT/MRI phase comparison
visual_batch_1_6e_21_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_21_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_21_02,neurology,Brain tumor location grid,image,assets/images/neurology/batch_1_6e_21_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,brain tumor location grid; MRI pattern image cards
visual_batch_1_6e_21_03,neurology,Tbi injury mechanism diagram,image,assets/images/neurology/batch_1_6e_21_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,TBI injury mechanism diagram; epidural/subdural/intracerebral comparison
visual_batch_1_6e_22_01,neurology,Nigrostriatal dopamine pathway,image,assets/images/neurology/batch_1_6e_22_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,nigrostriatal dopamine pathway; cardinal motor signs flash animation
visual_batch_1_6e_22_02,neurology,Ischemic vs hemorrhagic stroke ct/mri image cards,image,assets/images/neurology/batch_1_6e_22_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ischemic vs hemorrhagic stroke CT/MRI image cards; vascular territory map
visual_batch_1_6e_22_03,neurology,Icf impairment-disability-handicap flow,image,assets/images/neurology/batch_1_6e_22_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ICF impairment-disability-handicap flow; transfer training sequence cards
visual_batch_1_6e_23_01,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_23_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_23_02,neurology,Headache red flags snoop/snnoop card,image,assets/images/neurology/batch_1_6e_23_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,headache red flags SNOOP/SNNOOP card; migraine pathway diagram
visual_batch_1_6e_23_03,neurology,3d brainstem/cerebellum/cerebrum viewer,image,assets/images/neurology/batch_1_6e_23_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,3D brainstem/cerebellum/cerebrum viewer; cranial nerve pathway hotspots
visual_batch_1_6e_24_01,neurology,Ischemic vs hemorrhagic stroke ct/mri image cards,image,assets/images/neurology/batch_1_6e_24_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ischemic vs hemorrhagic stroke CT/MRI image cards; vascular territory map
visual_batch_1_6e_24_02,neurology,Radiology viewer card with ct/mri phase comparison,image,assets/images/neurology/batch_1_6e_24_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,radiology viewer card with CT/MRI phase comparison
