number,question_id,source_file,page_label,source_lines,answer_evidence,reconstruction_notes
12,mcq_6e_2025_original_exam_set_q12,MCQ 6.E 2025.pdf,Page 1,40 41 42 43 44,Jawaban C disorot pada PDF halaman 1.,
13,mcq_6e_2025_original_exam_set_q13,MCQ 6.E 2025.pdf,Page 1,45 46 47,Inferensi dari skenario; highlight jawaban tidak tampak jelas pada PDF.,Jawaban tidak disorot jelas; dipilih berdasarkan konteks klinis sumber.
14,mcq_6e_2025_original_exam_set_q14,MCQ 6.E 2025.pdf,Page 2,62 63 64 65 66,Jawaban A disorot pada PDF halaman 2.,
15,mcq_6e_2025_original_exam_set_q15,MCQ 6.E 2025.pdf,Page 2,67 68 69 70,Jawaban A disorot pada PDF halaman 2.,
16,mcq_6e_2025_original_exam_set_q16,MCQ 6.E 2025.pdf,Page 2,71 72 111 113 115 116 117 120 121,Tidak ada highlight jawaban final yang dapat dipetakan ke opsi lengkap.,"Opsi lengkap tidak terbaca. Item dipertahankan untuk provenance, tetapi dikeluarkan dari quiz aktif."
17,mcq_6e_2025_original_exam_set_q17,MCQ 6.E 2025.pdf,Page 2,73 74 75,Jawaban A disorot pada PDF halaman 2.,
18,mcq_6e_2025_original_exam_set_q18,MCQ 6.E 2025.pdf,Page 2,76 77,Jawaban A disorot pada PDF halaman 2.,Hanya satu opsi terbaca; opsi lain tidak tersedia.
19,mcq_6e_2025_original_exam_set_q19,MCQ 6.E 2025.pdf,Page 2,78 79 80 81,Jawaban A disorot pada PDF halaman 2.,
20,mcq_6e_2025_original_exam_set_q20,MCQ 6.E 2025.pdf,Page 2,82 83 84,Jawaban A disorot pada PDF halaman 2.,
21,mcq_6e_2025_original_exam_set_q21,MCQ 6.E 2025.pdf,Page 2,85 86 87,Jawaban A disorot pada PDF halaman 2.,OCR menulis “myokolonik”; dinormalisasi menjadi myoclonic seizure.
22,mcq_6e_2025_original_exam_set_q22,MCQ 6.E 2025.pdf,Page 2,88 89 90 91 92,Jawaban C disorot pada PDF halaman 2.,Opsi D pada OCR bercampur dengan nomor 23 sehingga ditandai tidak terbaca.
23,mcq_6e_2025_original_exam_set_q23,MCQ 6.E 2025.pdf,Page 2,92 93 94 95,Tidak ada highlight jelas; jawaban merupakan inferensi anatomis dari opsi yang tersedia.,Nomor 23 menempel pada opsi D nomor 22 di OCR; dipisahkan berdasarkan tampilan visual halaman 2.
24,mcq_6e_2025_original_exam_set_q24,MCQ 6.E 2025.pdf,Page 2,96 97 98 99,Jawaban A disorot pada PDF halaman 2.,
25,mcq_6e_2025_original_exam_set_q25,MCQ 6.E 2025.pdf,Page 2,100 101,Jawaban A disorot pada PDF halaman 2.,Hanya satu opsi terbaca.
26,mcq_6e_2025_original_exam_set_q26,MCQ 6.E 2025.pdf,Page 2,102 103,Jawaban A disorot pada PDF halaman 2.,Teks sumber menulis “sub epidural”; dinormalisasi dengan catatan bahwa istilah klinis lazim adalah epidural hematoma.
27,mcq_6e_2025_original_exam_set_q27,MCQ 6.E 2025.pdf,Page 2,104 105 106 107,Jawaban A disorot pada PDF halaman 2.,OCR menulis “monokulopati/polikulopati”; dinormalisasi menjadi mononeuropati/polineuropati sesuai konteks neurologi.
28,mcq_6e_2025_original_exam_set_q28,MCQ 6.E 2025.pdf,Page 2-3,108 122 123,Jawaban A disorot pada PDF halaman 3.,"Stem berada di halaman 2, opsi dan highlight jawaban terbaca di halaman 3."
29,mcq_6e_2025_original_exam_set_q29,MCQ 6.E 2025.pdf,Page 3,124 125 126,Jawaban A disorot pada PDF halaman 3.,
30,mcq_6e_2025_original_exam_set_q30,MCQ 6.E 2025.pdf,Page 3,127 128,Jawaban A disorot pada PDF halaman 3.,Hanya satu opsi terbaca.
31,mcq_6e_2025_original_exam_set_q31,MCQ 6.E 2025.pdf,Page 3,129 130 131,Jawaban A disorot pada PDF halaman 3.,
32,mcq_6e_2025_original_exam_set_q32,MCQ 6.E 2025.pdf,Page 3,132 133 134 163 165 166,Inferensi dari opsi dan catatan visual; tidak ada highlight jelas pada baris Q32.,"Catatan visual menyebut antihistamine, betahistine, promethazine; karena stem memakai “kecuali”, jawaban disusun konservatif sebagai analog histamin dengan confidence medium."
33,mcq_6e_2025_original_exam_set_q33,MCQ 6.E 2025.pdf,Page 3,135 136 137 159 160,Jawaban A disorot pada PDF halaman 3.,
34,mcq_6e_2025_original_exam_set_q34,MCQ 6.E 2025.pdf,Page 3,138 139 140 141 142,Jawaban B disorot pada PDF halaman 3.,
35,mcq_6e_2025_original_exam_set_q35,MCQ 6.E 2025.pdf,Page 3,143 144 145 146 162,Jawaban A disorot pada PDF halaman 3.,
36,mcq_6e_2025_original_exam_set_q36,MCQ 6.E 2025.pdf,Page 3,147 148 166,Jawaban A disorot pada PDF halaman 3.,Hanya satu opsi terbaca. Ada catatan samping tentang antihistamin/betahistine/promethazine.
37,mcq_6e_2025_original_exam_set_q37,MCQ 6.E 2025.pdf,Page 3,149 150 151,Jawaban A disorot pada PDF halaman 3.,
38,mcq_6e_2025_original_exam_set_q38,MCQ 6.E 2025.pdf,Page 3,152 153 154,Jawaban A disorot pada PDF halaman 3.,
39,mcq_6e_2025_original_exam_set_q39,MCQ 6.E 2025.pdf,Page 4,,Jawaban A disorot pada PDF halaman 4.,Pertanyaan ini tidak tertangkap OCR utama; direkonstruksi dari inspeksi visual halaman 4.
40,mcq_6e_2025_original_exam_set_q40,MCQ 6.E 2025.pdf,Page 4,,Jawaban B disorot pada PDF halaman 4.,Pertanyaan ini tidak tertangkap OCR utama; direkonstruksi dari inspeksi visual halaman 4.
