canonical_id,variant_id,source_file,source_alias,source_number,line_start,line_end,stem_variant,options_variant,notes
batch5_family_pair_q010,batch5_family_pair_q010_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,555,561,"pernyataan yang benar terkait sindrom horner, kecuali suatu gangguan yang ditandai adanya 1/lebih gejala neurologis ( sebagai contohnya, paralisis, kebutaan,parastesia ) yang tidak dapat di jelaskan oleh gangguan neurologis atau medis yang diketahui menurut DSM IV merupakan pengertian dari","[""Ptosis"", ""Enophtalmus"", ""kehilangan kemampuan berkeringat disatu sisi"", ""myosis"", ""sering karna ca servix""]",[]
batch5_family_pair_q010,batch5_family_pair_q010_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,30,190,195,"suatu gangguan yang ditandai adanya 1/lebih gejala neurologis ( sebagai contohnya, paralisis, kebutaan, parastesia ) yang tidak dapat di jelaskan oleh gangguan neurologis atau medis yang diketahui menurut DSM IV merupakan pengertian dari","[""Gangguan konversi"", ""Gangguan somatisasi"", ""Hipokondriasis"", ""Gangguan cemas menyeluruh"", ""Gangguan panik""]",[]
batch5_family_pair_q011,batch5_family_pair_q011_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,31,196,201,"identitas jenis kelamin atau preferensi seksual tidak diragukan, tetapi individu mengharapkan yang lain disebakan oleh gangguan psikologis dan perilaku, serta mencari pengobatan untuk mengubahnya, di sebut..","[""Gangguan maturitas seksual"", ""Orientasi seksual egodistonik"", ""Gangguan jalinan seksual"", ""Gangguan identitas jenis kelamin"", ""Gangguan referensi seksual""]",[]
batch5_family_pair_q012,batch5_family_pair_q012_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,489,494,pemberian terapi medika mentosa mulai dipertimbangkan pada ulkus dekubitus,"[""Ulkus dekubitus grade 1"", ""Ulkus dekubitus grade 2"", ""Ulkus dekubitus grade 3"", ""Ulkus dekubitus grade 4"", ""Bukan salah satu diatas""]",[]
batch5_family_pair_q012,batch5_family_pair_q012_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,32,202,207,pemberian terapi medika mentosa mulai dipertimbangkan pada ulkus dekubitus,"[""Ulkus dekubitus grade 1"", ""Ulkus dekubitus grade 2"", ""Ulkus dekubitus grade 3"", ""Ulkus dekubitus grade 4"", ""Bukan salah satu diatas""]",[]
batch5_family_pair_q013,batch5_family_pair_q013_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,241,246,"Seorang pasien mengeluh sering merasa cemas yang berlangsung hampir setiap hari sehingga sering merasa berdebar-debar, berkeringat dan pusing. Gejala yang dirasakan termasuk gejala ringan. Farmakoterapi yang tepat untuk pasien tersebut adalah","[""buspiron (MAOI)"", ""alprazolam gol. Mezendezepine"", ""clonazolam"", ""lorazepam"", ""diazepam""]",[]
batch5_family_pair_q013,batch5_family_pair_q013_v02,388802_Tutorial Jadi Youtuber Bro.docx,A,,549,554,"seorang pasien mengeluh sering merasa cemas yang berlangsung hampir setiap hari sehingga sering merasa berdebar debar, berkeringat, dan pusing. Gejala yang dirasakan termasuk gejala berat dan disertai serangan panik. Farmakoterapi yang tepat untuk pasien tersebut adalah","[""Buspiron"", ""Alprazolam -diazepam"", ""Triazolam"", ""Estazolam"", ""Zolpidem""]",[]
batch5_family_pair_q013,batch5_family_pair_q013_v03,6.3 okeoyeee with dr iksan and willy no -50.docx,B,33,208,214,"seorang pasien mengeluh sering merasa cemas yang berlangsung hampir setiap hari sehingga sering merasa berdebar debar, berkeringat, dan pusing. Gejala yang dirasakan termasuk gejala berat dan disertai serangan panik. Farmakoterapi yang tepat untuk pasien tersebut adalah","[""Buspiron"", ""Alprazolam"", ""Triazolam"", ""Esitazolam"", ""Zolpidem""]","[""Dx; ggn anxietas menyeluruh (GAM)""]"
batch5_family_pair_q014,batch5_family_pair_q014_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,81,85,"mekanisme obat anti kejang belum diketahui secara pasti. Dibawah ini merupakan mekanisme kerja suatu obat memiliki efek anti kejang, kecuali","[""Meningkatkan transmisi GABAergik"", ""Meningkatkan transmisi glutamatergik"", ""Memodifikasi konduksi ion"", ""Menurunkan transmisi glutamatergik""]",[]
batch5_family_pair_q014,batch5_family_pair_q014_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,34,215,220,"mekanisme obat anti kejang belum diketahui secara pasti. Dibawah ini merupakan mekanisme kerja suatu obat memiliki efek anti kejang, kecuali","[""Meningkatkan gaba"", ""Meningkatkan transmisi GABAergik"", ""Meningkatkan transmisi glutamatergik"", ""Memodifikasi konduksi ion"", ""Menurunkan transmisi glutamatergik""]",[]
batch5_family_pair_q015,batch5_family_pair_q015_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,36,227,232,"berikut ini merupakan gangguan tidur yang dapat terjadi pada pasien delirium, kecuali","[""Insomnia, atau pada kasus yang berat tidak dapat tidur sama sekali, atau terbaliknya siklus tidur mengantuk siang hari"", ""Gejala memburuk pada malam hari"", ""Mimpi yang menggangu"", ""Mimpi buruk yang dapat berlanjut menjadi halusinasi setelah bangun tidur"", ""Sulit masuk waktu tidur, tetapi bila sudah tidur, pasien dapat tidur dengan nyenyak""]",[]
batch5_family_pair_q016,batch5_family_pair_q016_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,519,522,"seorang laki-laki, 45 tahun, dirawat di ICCU dengan diagnosis krisis tiroid dan saat ini disertai dengan keluhan mengamuk, tidak mengenal keluarganya dan tidak mengetahui dimana dia berada. Pola tidur pasien menjadi terbalik, dan pasien sering berteriak-teriak melihat setan. Dan melihat bayangan keluarganya yang telah meninggal dunia. Diagnosis gangguan jiwa pada pasien ini adalah","[""Halusinasi organik"", ""Sindroma amnesia organik"", ""Delirium""]",[]
batch5_family_pair_q016,batch5_family_pair_q016_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,37,233,238,"seorang laki-laki, 45 tahun, dirawat di ICCU dengan diagnosis krisis tiroid dan saat ini disertai dengan keluhan mengamuk, tidak mengenal keluarganya dan tidak mengetahui dimana dia berada. Pola tidur pasien menjadi terbalik, dan pasien sering berteriak-teriak melihat setan. Dan melihat bayangan keluarganya yang telah meninggal dunia. Diagnosis gangguan jiwa pada pasien ini adalah","[""Halusinasi organik"", ""Sindroma amnesia organik"", ""Delirium"", ""Gangguan katatonik organik"", ""Cemas organik""]",[]
batch5_family_pair_q017,batch5_family_pair_q017_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,369,373,golongan obat yang merupakan first line untuk terapi migrain adalah,"[""Triptan"", ""Ergot"", ""Barbiturat"", ""Asetaminofen""]",[]
batch5_family_pair_q017,batch5_family_pair_q017_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,38,239,249,golongan obat yang merupakan first line untuk terapi migrain adalah,"[""Triptan"", ""Ergot"", ""Barbiturat"", ""Asetaminofen""]","[""Tension Type Headeche (TTH); Caffein, NSAID,"", ""Migrain; NSAID, Triptan, Ergotamine ( Lini 1,2,3 )"", ""Cluster; Triptan,ergotamine, lidokain ( Lini 2,3 + lidoqain)"", ""Lini 1: NSAID"", ""Lini 2: Golongan 5HT"", ""Lini 3: Ergotamine""]"
batch5_family_pair_q018,batch5_family_pair_q018_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,579,584,"anamnesis bentuk bangkitan yang baik, disertai pemeriksaan fisik dan penunjang yang sesuai, dapat membedakan antara bangkitan yang parsial (focal) dengan bangkitan umum (generalized). Ciri yang dapat mengarahkan bentuk bangkitan focal yaitu apabila bentuk kejangnya adalah","[""Langsung pingsan (drop attack)"", ""Kompulsif tonik klonik"", ""Absence"", ""Conversion disorder atau malingering"", ""Didahului automatism""]",[]
batch5_family_pair_q018,batch5_family_pair_q018_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,41,257,262,"anamnesis bentuk bangkitan yang baik, disertai pemeriksaan fisik dan penunjang yang sesuai, dapat membedakan antara bangkitan yang parsial (focal) dengan bangkitan umum (generalized). Ciri yang dapat mengarahkan bentuk bankitan focal yaitu apabila bentuk kejangnya adalah","[""Langsung pingsan (drop attack)"", ""Kompulsif tonik klonik"", ""Absence > bengong"", ""Conversion disorder atau malingering"", ""Didahului automatism""]",[]
batch5_family_pair_q019,batch5_family_pair_q019_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,42,263,268,"setelah kejang akibat ECT, metabolisme otak menurun, terutama di","[""Lobus temporalis"", ""Lobus frontalis"", ""Lobus parietalis"", ""Lobus occipitalis"", ""Pons""]",[]
batch5_family_pair_q020,batch5_family_pair_q020_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,29,33,Anti psikosis generasi pertama yang pemberiannya dihindari pada penderita penyakit jantung karena dapat menyebabkan depresan miokard secara langsungadalah?,"[""Phenothiazine"", ""Thioridazine"", ""Mesoridazine"", ""Thiothixene""]",[]
batch5_family_pair_q020,batch5_family_pair_q020_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,43,269,273,antipsikosis generasi pertama yang pemberiannya dihindari pada penderita penyakit jantung karena dapat menyebabkan depresan miokard secara langsung adalah,"[""Phenotiazine"", ""Thioridazine"", ""Mesoridazine"", ""Thiotixene""]",[]
batch5_family_pair_q021,batch5_family_pair_q021_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,265,269,"dibawah ini merupakan obat yang dapat digunakan sebagai preventif terjadinya migrain, kecuali","[""Propanolol"", ""Timolol"", ""Dipalproate"", ""Bisoprolol""]",[]
batch5_family_pair_q021,batch5_family_pair_q021_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,44,274,278,"dibawah ini merupakan obat yang dapat digunakan sebagai preventif terjadinya migrain, kecuali","[""Propanolol"", ""Timolol"", ""Dipalproate"", ""Bisoprolol""]",[]
batch5_family_pair_q022,batch5_family_pair_q022_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,45,279,284,"seorang pasien wanita 30 tahun, belum menikah, di konsul dari bedah plastik dengan keluhan merasa penampilannya buruk, tidak menarik dan bahkan menjijikan. Padahal jika dilihat penampilannya normal. Diagnosis pada pasien ini adalah","[""Gangguan nyeri"", ""Somatisasi"", ""Hipokondriasis"", ""Body dismorfik disorder"", ""Gangguan konversi""]",[]
batch5_family_pair_q023,batch5_family_pair_q023_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,294,299,"fungsi kontrol emosi, menghasilkan perasaan dan menginterpretasi impuls sensorif berada pada","[""Diencephalon"", ""Mesencephalon"", ""Metencephalon"", ""Myelencephalon"", ""Telencephalon""]",[]
batch5_family_pair_q023,batch5_family_pair_q023_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,46,285,290,"fungsi kontrol emosi, menghasilkan perasaan dan menginterpretasi impuls sensorif berada pada","[""Diencephalon"", ""Mesencephalon"", ""Metencephalon"", ""Myelencephalon"", ""Telencephalon""]",[]
batch5_family_pair_q024,batch5_family_pair_q024_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,513,518,argumen yang menyebutkan bahwa seseorang yang didakwa melakukan tindakan kriminal dianggap tidak bersalah karena orang tersebut tidak bisa mengontrol perbuatannya atau tidak mengerti perbedan antara benar dan salah yang di kenal sebagai,"[""Keinginan"", ""Fakta meringankan"", ""Peraturan M’naghten"", ""Peraturan yang meringankan"", ""Semua salah""]",[]
batch5_family_pair_q024,batch5_family_pair_q024_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,47,291,296,argumen yang menyebutkan bahwa seseorang yang didakwa melakukan tindakan kriminal dianggap tidak bersalah karena orang tersebut tidak bisa mengontrol perbuatannya atau tidak mengerti perbedan antara benar dan salah yang di kenal sebagai,"[""Keinginan"", ""Fakta meringankan"", ""Peraturan M’naghten"", ""Peraturan yang meringankan"", ""Semua salah""]",[]
batch5_family_pair_q025,batch5_family_pair_q025_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,483,488,"infeksi otak yang menimbulkan lesi focal otak dan menyebabkan defisit neurologis, sering terjadi pada pasien dengan status HIV + adalah","[""Meningitis"", ""SOL"", ""Toxoplasmosis"", ""Ensefalitis"", ""Varisela intrakaranial""]",[]
batch5_family_pair_q025,batch5_family_pair_q025_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,48,297,302,"infeksi otak yang menimbulkan lesi focal otak dan menyebabkan defisit neurologis, sering terjadi pada pasien dengan status HIV + adalah","[""Meningitis"", ""SOL"", ""Toxoplasmosis"", ""Ensefalitis"", ""Varisela intrakaranial""]",[]
batch5_family_pair_q026,batch5_family_pair_q026_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,49,303,308,"adanya insomnia pada waktu orang tidur dan hipersomnia waktu kebanyakan orang bangun, berlangsung sekurangnya 1 bulan atau secara berulang dengan periode yang lebih singkat, merupakan kriteria diagnostik dari","[""Gangguan jadwal tidur"", ""Parasomnia"", ""Somnabulisme"", ""Insomnia non organik"", ""Hipersomnia""]",[]
batch5_family_pair_q027,batch5_family_pair_q027_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,438,442,"laki-laki 17 tahun datang ke poli neurologi dengan keluhan merasa lupa sesaat saat sedang belajar. Teman sekolahnya memberitahukan bahwa dia tampak sering bengong dan tidak berespon saat di kelas. Keadaan tsb berlangsung sebentar, tidak lebih dari 1 menit namun sering berulang. Dokter mendiagnosa pasien dengan kejang absence. Sesuai keadaan pasien diatas, kejang absence termasuk dalam kejang?","[""Kejang parsial"", ""Kejang general"", ""Drop attack"", ""Pseudo seizure""]",[]
batch5_family_pair_q027,batch5_family_pair_q027_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,50,309,313,"laki-laki 17 tahun datang ke poli neurologi dengan keluhan merasa lupa sesaat saat sedang belajar. Teman sekolahnya memberitahukan bahwa dia tampak sering bengong dan tidak berespon saat di kelas. Keadaan tsb berlangsung sebentar, tidak lebih dari 1 menit namun sering berulang. Dokter mendiagnosa pasien dengan kejang absence. Sesuai keadaan pasien diatas, kejang absence termasuk dalam kejang?","[""Kejang parsial"", ""Kejang general"", ""Drop attack"", ""Pseudo seizure""]",[]
batch5_family_pair_q028,batch5_family_pair_q028_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,75,80,"Seorang laki-laki berusia 30 tahun dibawa ke IGD RS setelah kecelakaan lalu lintas tidak menggunakan helm dan menabrak pohon, terdapat luka dikepala dan tangan, pasien sempat pingsan saat perjalanan pasien sadar dan lupa kejadian, saat di RS pasien membuka mata saat di panggil, mengerang, serta refleks pleksi saat di cubit, terdapat hematoma temporoparietal. Gambaran CT Scan yang paling mungkin pada kelainan no 10 berupa","[""Gambaran hiperdens intra serebral"", ""Gambaran hiperdens bikonvek"", ""Gambaran hiperdens seperti bulansabit"", ""Gambaran hiperdens sintra ventrikularis"", ""Gambaran salt and pepper""]",[]
batch5_family_pair_q028,batch5_family_pair_q028_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,57,320,325,"seorang laki-laki berusia 30 tahun dibawa ke IGD RS setelah kecelakaan lalu lintas tidak menggunakan helm dan menabrak pohon, terdapat luka dikepala dan tangan, pasien sempat pingsan saat perjalanan pasien sadar dan lupa kejadian, saat di RS pasien membuka mata saat di panggil, mengerang, serta refleks pleksi saat di cubit, terdapat hematoma temporoparietal. Gambaran CT Scan yang paling mungkin pada kelainan no 10 berupa","[""Gambaran hiperdens intra serebral"", ""Gambaran hiperdens bikonvek"", ""Gambaran hiperdens seperti bulan sabit"", ""Gambaran hiperdens intra ventrikularis"", ""Gambaran salt and pepper""]",[]
batch5_family_pair_q029,batch5_family_pair_q029_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,312,317,gangguan ingatan pada pasien depresi di sebut dengan,"[""Demensia"", ""Pseudomensia"", ""Amnesia retrogart"", ""Pikun"", ""Semua benar""]",[]
batch5_family_pair_q029,batch5_family_pair_q029_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,58,326,331,gangguan ingatan pada pasien depresi di sebut dengan,"[""Demensia"", ""Pseudomensia"", ""Amnesia retrogart"", ""Pikun"", ""Semua benar""]",[]
batch5_family_pair_q030,batch5_family_pair_q030_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,59,332,337,"urutan yang benar dari hirarki blok diagnosis gangguan jiwa berdasarkan PPDGJ III Gangguan mental organik, gangguan mental dan perilaku akibat zat psikoaktif, skizofrenia dan gangguan suasana perasaan Gangguan mental organik, skizofrenia, gangguan mental dan perilaku akibat zat psikoaktif Gangguan mental organik, gangguan mental dan perilaku akibat zat psikoaktif, gangguan suasana perasaan dan skizofrenia","[""Skizofrenia, gangguan mental organik, gangguan mental dan perilaku akibat zat psikoaktif, dan ganggguan suasana perasaan"", ""Perilaku akibat zat psikoaktif, skizofrenia, dan gangguan suasana perasaan dan gangguan mental organik""]",[]
batch5_family_pair_q031,batch5_family_pair_q031_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,206,211,"lesi didaerah cerebelopontine angle, sering mengakibatkan gangguan pada","[""Nervi IV"", ""Nervi V"", ""Nervi VI"", ""Nervi VIII"", ""Nervi IX""]",[]
batch5_family_pair_q031,batch5_family_pair_q031_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,60,338,343,"lesi didaerah cerebelopontine angle, sering mengakibatkan gangguan pada","[""Nervi IV"", ""Nervi V"", ""Nervi VI"", ""Nervi VIII"", ""Nervi IX""]",[]
batch5_family_pair_q032,batch5_family_pair_q032_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,340,345,"Dibawah ini yang benar tentang Neuritis Vestibularis, Kecuali…","[""Onset mendadak"", ""Tidak terjadi hilang pendengaran"", ""Terjadi peradangan pada N. Vestibularis"", ""Disebabkan oleh virus"", ""Terdapat gangguan pendengaran""]",[]
