canonical_id,number,stem,option_count,answer_index,answer_text,confidence,source_files,line_refs
batch5_family_pair_q015,14,"berikut ini merupakan gangguan tidur yang dapat terjadi pada pasien delirium, kecuali",5,4,"Sulit masuk waktu tidur, tetapi bila sudah tidur, pasien dapat tidur dengan nyenyak",medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:227-232
batch5_family_pair_q016,15,"seorang laki-laki, 45 tahun, dirawat di ICCU dengan diagnosis krisis tiroid dan saat ini disertai dengan keluhan mengamuk, tidak mengenal keluarganya dan tidak mengetahui dimana dia berada. Pola tidur pasien menjadi terbalik, dan pasien sering berteriak-teriak melihat setan. Dan melihat bayangan keluarganya yang telah meninggal dunia. Diagnosis gangguan jiwa pada pasien ini adalah",5,2,Delirium,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:519-522; B:233-238
batch5_family_pair_q017,16,golongan obat yang merupakan first line untuk terapi migrain adalah,4,0,Triptan,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:369-373; B:239-249
batch5_family_pair_q018,17,"anamnesis bentuk bangkitan yang baik, disertai pemeriksaan fisik dan penunjang yang sesuai, dapat membedakan antara bangkitan yang parsial (focal) dengan bangkitan umum (generalized). Ciri yang dapat mengarahkan bentuk bankitan focal yaitu apabila bentuk kejangnya adalah",5,4,Didahului automatism,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:579-584; B:257-262
batch5_family_pair_q019,18,"setelah kejang akibat ECT, metabolisme otak menurun, terutama di",5,1,Lobus frontalis,medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:263-268
batch5_family_pair_q020,19,antipsikosis generasi pertama yang pemberiannya dihindari pada penderita penyakit jantung karena dapat menyebabkan depresan miokard secara langsung adalah,4,1,Thioridazine,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:29-33; B:269-273
batch5_family_pair_q021,20,"dibawah ini merupakan obat yang dapat digunakan sebagai preventif terjadinya migrain, kecuali",4,3,Bisoprolol,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:265-269; B:274-278
batch5_family_pair_q022,21,"seorang pasien wanita 30 tahun, belum menikah, di konsul dari bedah plastik dengan keluhan merasa penampilannya buruk, tidak menarik dan bahkan menjijikan. Padahal jika dilihat penampilannya normal. Diagnosis pada pasien ini adalah",5,3,Body dismorfik disorder,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:279-284
batch5_family_pair_q023,22,"fungsi kontrol emosi, menghasilkan perasaan dan menginterpretasi impuls sensorif berada pada",5,4,Telencephalon,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:294-299; B:285-290
batch5_family_pair_q024,23,argumen yang menyebutkan bahwa seseorang yang didakwa melakukan tindakan kriminal dianggap tidak bersalah karena orang tersebut tidak bisa mengontrol perbuatannya atau tidak mengerti perbedan antara benar dan salah yang di kenal sebagai,5,2,Peraturan M’naghten,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:513-518; B:291-296
batch5_family_pair_q025,24,"infeksi otak yang menimbulkan lesi focal otak dan menyebabkan defisit neurologis, sering terjadi pada pasien dengan status HIV + adalah",5,2,Toxoplasmosis,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:483-488; B:297-302
batch5_family_pair_q026,25,"adanya insomnia pada waktu orang tidur dan hipersomnia waktu kebanyakan orang bangun, berlangsung sekurangnya 1 bulan atau secara berulang dengan periode yang lebih singkat, merupakan kriteria diagnostik dari",5,0,Gangguan jadwal tidur,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:303-308
batch5_family_pair_q027,26,"laki-laki 17 tahun datang ke poli neurologi dengan keluhan merasa lupa sesaat saat sedang belajar. Teman sekolahnya memberitahukan bahwa dia tampak sering bengong dan tidak berespon saat di kelas. Keadaan tsb berlangsung sebentar, tidak lebih dari 1 menit namun sering berulang. Dokter mendiagnosa pasien dengan kejang absence. Sesuai keadaan pasien diatas, kejang absence termasuk dalam kejang?",4,1,Kejang general,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:438-442; B:309-313
batch5_family_pair_q028,27,"seorang laki-laki berusia 30 tahun dibawa ke IGD RS setelah kecelakaan lalu lintas tidak menggunakan helm dan menabrak pohon, terdapat luka dikepala dan tangan, pasien sempat pingsan saat perjalanan pasien sadar dan lupa kejadian, saat di RS pasien membuka mata saat di panggil, mengerang, serta refleks pleksi saat di cubit, terdapat hematoma temporoparietal. Gambaran CT Scan yang paling mungkin pada kelainan no 10 berupa",5,1,Gambaran hiperdens bikonvek,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:75-80; B:320-325
batch5_family_pair_q029,28,gangguan ingatan pada pasien depresi di sebut dengan,5,1,Pseudomensia,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:312-317; B:326-331
batch5_family_pair_q030,29,Urutan yang benar dari hirarki blok diagnosis gangguan jiwa berdasarkan PPDGJ III adalah?,5,0,Gangguan mental organik - gangguan mental dan perilaku akibat zat psikoaktif - skizofrenia - gangguan suasana perasaan,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:332-337
batch5_family_pair_q031,30,"lesi didaerah cerebelopontine angle, sering mengakibatkan gangguan pada",5,3,Nervi VIII,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:206-211; B:338-343
batch5_family_pair_q032,31,"Dibawah ini yang benar tentang Neuritis Vestibularis, Kecuali…",5,4,Terdapat gangguan pendengaran,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:340-345; B:344-349
batch5_family_pair_q033,32,"Psikoterapi suportif yang dilakukan dengan menerangkan secara masuk akal tentang gejala-gejala penyakitnya yang timbul akibat cara berpikir, perasaan, dan sikapnya terhadap masalah yang dihadapinya, disebut sebagai…",5,1,Persuasi,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:164-169; B:350-355
batch5_family_pair_q034,33,Selubung myelin yang melapisi sistem saraf memiliki fungsi sebagai:,5,1,Insulator listrik,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:188-193; B:356-361
batch5_family_pair_q035,34,Fenomena psikopatologi yang muncul dari keluhan pasien dan bersifat subyektif disebut…,5,1,"Gejala klinis gangguan jiwa, yang dirasakan objektif",high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:362-367
batch5_family_pair_q036,35,"Seseorang datang ke UGD, bicara pelo, kelemahan anggota gerak sebelah kiri timbul mendadak tadi pagi saat bangun tidur. Dimanakah terjadi kerusakan?",5,1,Arteri cerebri media,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:230-235; B:368-373
batch5_family_pair_q037,36,"Pernyataan tentang Tumor Otak dibawah ini adalah benar, kecuali…",5,2,"Semua tumor otak memerlukan tindakan operasi, Khemoterapi dan Radiasi",high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:374-379
batch5_family_pair_q038,37,"Tn. M, 50 tahun Seorang pengusaha sukses di jambi dirawat di bagian syaraf RS. Raden Mattaher karena tidak bisa berjalan yang disebabkan 1 jam sebelum masuk RS, saat penderita sedang BAB tiba-tiba penderita mengalami kelemahan pada lengan kiri ddan tungkai kiri. Hal ini terjadi untuk yang pertama kali. Pada saat serangan penderita tampak selalu mengantuk dan susah diajak komunikasi. Disertai sakit kepala, mual dan muntah. Tanpa disertai kejang dan gangguan rasa pada sisi yang lemah. Kelemahan lengan kiri dan tungkai kiri sama berat. Saat mengobrol bicaranya pelo dan lidah deviasi ke kiri saat dijulurkan, tidak ada atropi papil lidah dan fasikulasi (-). Saat mengerutkan sahi simetris, kedua kelopak mata dapat menutup sempurna, namun saat meringis sisi mulut kiri tertinggal. Sehari-hari pederita bekerja dengan tangan kanan. Penderita masih dapat mengungkapkan isi pikirannya secara lisan, tulisan dan isyarat. Penderita juga masih dapat mengerti isi pikiran orang lain yang diungkapkan secara lisan, tulisan dan isyarat. Reflex dan tonus pada sisi yang lemah meningkat. Diagnosis klinis pada kasus diatas adalah…",4,3,Stroke hemoragik,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:39-43; B:380-385
batch5_family_pair_q039,38,"Seorang pria 60 tahun dibawa ke IGD karena merasakan kelemahan yang tiba-tiba di anggota gerak atas dan bawah bagian kanan. Kelemahan tersebut dirasakan seusai pasien shalat subuh. Setelah pasien merasa lemah, pasien masih bisa beralih ke tempat tidur dan meminta tolong kepada keluarga. Saat tiba di IGD, pasien sudah tidak bisa menggerakkan tangan dan kaki bagian kanan. Pasien diketahui memiliki riwayat diabetes dan penyakit gout. Pemeriksaan di IGD kesadaran komposmentis, tekanan darah pada 180/100 mmHg. Diagnosis pasien ini adalah…",5,1,Stroke non hemoragik,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:134-139; B:386-391
batch5_family_pair_q040,39,"Beberapa hal dibawah ini termasuk gejala dan tanda dari nyeri kepala tipe migren, kecuali..",5,0,Serangan selalu diawali dengan adanya aura,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:346-348; B:392-397
batch5_family_pair_q041,40,"Seorang wanita berusia 38 tahun mengeluh hampir setiap hari selama beberapa minggu ini merasa khawatir. Perasaan khawatir tersebut disertai dengan keluhan firasat-firasat buruk, gelisah, keluhanepigastik serta sulit untuk tidur. Ia selalu cemas jangan-jangan akan terjadi sesuatu terhadap keluarganya. Diagnosis yang paling memungkinkan adalah…",5,3,Gangguan ansietas menyeluruh,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:507-509; B:398-403
batch5_family_pair_q042,41,"berikut ini merupakan gejala-gejala manic, kecuali…",5,3,Insomnia,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:122-127; B:404-409
batch5_family_pair_q043,42,"Mekanisme terjadinya bipolar diduga karena oleh beberapa teori, yang termasuk hipotensi kolinergik adalah …",4,1,Agen yang menyebabkan pengingkatan Ach menurunkan gejala manic,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:478-482; B:410-414
batch5_family_pair_q044,43,"Berdasarkan UU no. 35 tahun 2009 tentang narkotika, opium termasuk narkotika golongan I, dimana semua bagian dari opium berbahaya, kecuali..",4,3,Biji,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:19-23; B:415-419
batch5_family_pair_q045,44,Anti convulsant yang dapat digunakan sebagai mood stabilizer adalah..contohmanitol,4,1,Lamotrigine,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:318-322; B:420-424
batch5_family_pair_q046,45,"Semua Nervi Craniales keluar dari batang otak, kecuali…",5,3,N. I dan N. II,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:323-328; B:425-430
batch5_family_pair_q047,46,"Seorang wanita berusia 39 tahun, dibawa ke fasilitas kesehatan karena dijumpai keganjilan terhadap penderita. Penderita sering berbelanja hal-hal yang tidak penting, perilaku boros, sering mebagi-bagikan barang-barang kepada orang-orang. Penderita juga keliatan banyak bicara, bicara menggebu-gebu, hiperaktif dan terkesan tidak butuh tidur. Penderita juga sering mengatakan bahwa ia adalah orang yang paling sukses dan sangat kaya sehingga sering mengatakan jika ada yang butuh bantuan dia pasti sanggup membantu. Padahal beberapa bulan yang lalu, penderita mengalami kebangkrutan dalam menjalankan usahanya. Karena kebangkrutan tersebut penderita sering menyendiri, sedih, tidak bersemangat, sulit tidur, pesimis, dan perasaan bersalah. Pengobatan yang tepat untuk gangguan diatas adalah…",5,2,Mood stabilizer + anti psikotik,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:50-55; B:431-437
batch5_family_pair_q048,47,"Gejala-gejala dibawah ini mengarah kepada Tumor Otak pada Lobus Frontal, Kecuali..",5,4,Hemianopsia visual,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:224-229; B:438-443
batch5_family_pair_q049,48,"Nyeri kepala karena peningkatan tekanan intracranial oleh karena tumor otak dapat disebabkan oleh, kecuali…",5,1,Adanya perubahan bentuk tulang otak,medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:444-449
batch5_family_pair_q050,49,"Seorang wanita berusia 37 tahun datang dengan keluhan sering sedih dan tidak bersemangat. Gejala tersebut disertai dengan sulit konsentrasi, sulit tidur, rasa tidak berharga dan berkurangnya nafsu makan. Hal tersebut dialami selama beberapa bulan. Kira-kira 6 bulan sebelumnya pasien mengalami gejala banyak bicara, gampang marah, dan berperilaku boros. Pengobatan yang tepat untuk kasus tersebut adalah..ggn cemas menyeluruh",5,2,Mood stabilizer,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:152-156; B:450-455
batch5_family_pair_q051,50,"berikut ini merupakan penyakit yang dapat menyebabkan gangguan memori, kecuali…",5,3,Cemas,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:182-186; A:466-471; B:456-461
batch5_family_pair_q052,51,Dibawah ini yang merupakan karakteristik dari antipsikosis atipikal (second generation antipsycosis) adalah,4,0,bekerja dengan menghambat serotonin dan D4,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:455-459; B:462-466
batch5_family_pair_q053,52,Tujuan pengobatan demensia adalah KECUALI,5,1,mengobati gangguan secara total,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:146-151; B:467-472
batch5_family_pair_q054,53,"Ketidaksesuaian antara pengalaman gerakan yang sudah tersimpan di otak dengan gerakan yang sedang di hadapi sehingga menimbulkan gerakan aneh yang kemudian akan mengaktifasi sistema saraf otonom sehingga terjadi vertigo, disebut teori",5,3,teori neural mismatch,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:170-175; B:473-478
batch5_family_pair_q055,54,"Ny. Wati, 40 tahun, datang ke RS untuk menjalani pemeriksaan karena ada sesuatu yang mengganjal ditenggorokannya. Namun hasil pemeriksaan menunjukkan tidak ditemukan kelainan apapun padanya. Ia mengaku sudah merasakan adanya sesuatu yang mengganjal ditenggorokannya sejak 3 bulan berakhir. Ny. Wali menduga ia terkena kanker atau penyakit lainnya. Namun dari hasil pemeriksaan semuanya negatif. Apa diagnosis kasus diatas?",5,2,hipokondriasis,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:485-490
batch5_family_pair_q056,55,"Seorang wanita, umur 36 tahun mengalami suatu peristiwa trauma hebat karena mengalami kecelakaan berat kira-kira 2 bulan yang lalu. Mengalami mimpi-mimpi mengenai kejadian tersebut dan bayangan bayangan kejadian trauma tersebut. Ketakutan yang hebat dan menghindari tempat kejadian trauma tersebut. Diagnosis yang tepat adalah",5,3,gangguan stres pasca trauma,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:491-496
batch5_family_pair_q057,56,"Kecenderungan yang berulang atau menetap untuk melihat orang yang sedang berhubungan seksual atau berprilaku intim seperti sedang menanggalkan pakaian, disebut",5,4,voyeurisme,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:86-91; B:497-502
batch5_family_pair_q058,57,"Seorang pasien, laki-laki, 55 tahun mengeluhkan kehilangan minat dan kegembiraan, mudah lelah, aktifitas dan konsentrasi menurun serta nafsu makan berkurang. Hal tersebut sudah dirasakan selama 1 bulan terakhir. Pasien merasakan bahwa tidak mampu menjalankan pekerjaan dan urusan rumah tangganya seperti biasanya lagi. Dokter meresepkan obat antidepresan golongan SSRIs. Obat yang tepat diberikan oleh dokter adalah",5,0,Fluoxetine,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:495-500; B:503-508
batch5_family_pair_q059,58,Zat yang terkandung dalam ganja yang bersifat lipofilik adalah,4,0,tetrahidro cannabinol (THC),high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:403-407; B:509-513
batch5_family_pair_q060,59,"Seorang pasien laki-laki, pegawai pabrik, 45 tahun, mengeluh sulit untuk jatuh tertidur sehingga seringkali menjelang fajar baru dapat tidur. Farmakoterapi yang tepat untuk tipe insomnia pasien tersebut tanpa merasakan kantuk pada pagi harinya adalah sulit mulai tdiur early sleep",5,0,triazolam,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:270-275; B:514-520
batch5_family_pair_q061,60,"Dibawah ini termasuk disfungsi seksual, kecuali",5,0,gangguan jalinan seksual,medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:521-526
batch5_family_pair_q062,61,Prognosis amnesia tergantung pada,5,3,semua benar,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:212-216; B:527-532
batch5_family_pair_q063,62,Dibawah ini yang termasuk tiga jenis reseptor alat keseimbangan tubuh yang benar adalah,5,0,"sel rambut dari krista dan otolit (vestibulum), sel cone dan rod retina (mata), sel raba kulit-sendi-tendon (propioseptik)",high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:426-431; B:533-538
batch5_family_pair_q064,63,Yang termasuk struktur peka nyeri intrakranial dibawah ini adalah,5,1,"nervus servikal 1,2 dan 3",medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:460-465; B:539-544
batch5_family_pair_q065,64,Yang tidak sesuai dengan gangguan nyeri adalah,5,1,"keluhan, manifestasi sesuai dengan penyebaran anatomik saraf",high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:545-550
batch5_family_pair_q066,65,"Indikasi rawat pada cedera kepala ringan (CKR) adalah, KECUALI",5,2,CT scan tidak ada,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:543-548; B:551-556
batch5_family_pair_q067,66,"Latihan fleksibilitas, latihan penguatan otot dapat dilakukan untuk mencegah keadaan",5,1,disuse atrofi,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:259-264; B:557-562
batch5_family_pair_q068,67,"gejala-gejala klinis pada dandy walker, KECUALI",5,4,stroke haemorrage,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:380-385; B:563-568
batch5_family_pair_q069,68,"yang termasuk red flag dari nyeri kepala adalah, KECUALI",5,3,nyeri kepala yang disertai pandangan kabur pada satu mata,medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:569-574
batch5_family_pair_q070,69,Cairan serebrospinal yang mengalir disistem saraf pusat yang berfungsi sebagai penahan goncangan disekresikan oleh bagian,5,0,pleksus khoroideus,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:501-506; B:575-595
batch5_family_pair_q071,70,Sakit kepala akibat tekanan intrakranial yang tinggi merupakan tanda khas dari infeksi otak: harusnya tumor,5,0,"Abses serebri,",medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:218-223; B:1-6
batch5_family_pair_q073,71,Kondisi psikogenik primer dengan cirri gangguan utama pada jumlah kualitas atau waktu tidur akibat kausal emosional disebut?,5,0,Dissomnia,high,388802_Tutorial Jadi Youtuber Bro.docx,A:7-12
batch5_family_pair_q074,72,"Kelainan seperti hiperrefleksia, dan timbulnya refleks patologis dalam pemeriksaan neurologi menandakan keadaan klinis berupa:",5,0,Kelumpuhan UMN,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:449-454; B:7-12
batch5_family_pair_q075,73,Pemberian piridoksin dalam penatalaksanaan meningitis TB digunakan untuk mencegah:,5,3,Neuropati perifer akibat pemberian isoniazid,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:98-100; B:13-15
batch5_family_pair_q077,74,"Berikut ini merupakan diagnosa banding dari delirium, Kecuali",5,4,Semua salah,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:334-339; B:19-24
batch5_family_pair_q078,75,"Mekanisme antihistamin sebagai anti vertigo belum jelas. Antihistamin yang mempunyai anti vertigo juga memiliki aktivitas anti-kolinergik di susunan saraf pusat, dibawah ini yang merupakan antihistamin juga anti vertigo adalah (Dimenhydrinate, promethazine / diphenhydramine - sedative; prochlorperazine / miclizine– antiemetic)",4,1,"Dimenhydrinate, miclizine",medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:24-28; B:60-64
batch5_family_pair_q079,76,"Tindakan kriminal yang dilakukan oleh seseorang yang diduga memiliki kelainan jiwa perlu mendapatkan penyelidikan dari seorang ahli kesehatan jiwa, berupa",5,1,Visum et repertum psikiatrikum,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:386-391; B:25-30
batch5_family_pair_q080,77,"Pernyataan yang benar terkait sindrom cavernosus, kecuali harus nya 3,4,6,cbng5 v1 v",5,3,Melibatkan semua cabang n.V,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:128-133; B:31-36
batch5_family_pair_q081,78,Penderita Amnesia paling banyak disebabkan oleh,5,2,Trauma kepala,medium,6.3 okeoyeee with dr iksan and willy no -50.docx,B:37-53
